,streams (int),speechiness_%,instrumentalness_%,liveness_%,acousticness_%,energy_%,valence_%,danceability_%,bpm,in_spotify_charts,in_spotify_playlists,artist_count,artist(s)_name,mode
450,485285717.0,5,0,21,0,81,69,51,160,0,6596,1,['Kelly Clarkson'],Major
451,520034544.0,4,0,34,47,82,96,50,148,0,3788,1,['Jos�� Felic'],Major
452,476244795.0,4,0,9,87,47,70,65,151,0,7655,1,['Michael Bubl�'],Major
453,629173063.0,4,0,9,51,54,88,67,162,0,9577,1,['Justin Bieber'],Minor
454,404664135.0,3,0,32,40,77,84,53,92,0,10114,1,['The Ronettes'],Major
455,98709329.0,7,18,21,44,65,35,65,152,0,1007,1,['SZA'],Major
456,110849052.0,8,0,13,85,26,55,71,65,0,1127,1,['SZA'],Minor
457,460492795.0,3,0,77,32,61,39,33,147,0,10829,4,"['John Lennon', 'The Harlem Community Choir', 'The Plastic Ono Band', 'Yoko Ono']",Major
458,94005786.0,9,0,32,53,69,71,73,150,0,1042,2,"['SZA', 'Don Toliver']",Minor
459,395591396.0,3,0,15,64,36,81,67,140,0,7930,1,['Burl Ives'],Major
460,389771964.0,4,0,11,84,15,22,36,139,0,11500,1,['Nat King Cole'],Major
461,403939487.0,3,0,9,36,58,74,75,95,0,1685,1,['Paul McCartney'],Major
462,481697415.0,3,2,27,0,57,23,60,115,0,14169,1,['Band Aid'],Major
463,110073250.0,5,3,11,84,43,59,62,125,0,1634,2,"['SZA', 'Phoebe Bridgers']",Major
464,88092256.0,5,0,11,78,20,19,60,76,0,906,1,['SZA'],Major
